Iteration,Likelihood,transmRate,vecEff1,vecEff2,vecEff3,vecEff4,vecEff5
2750,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2760,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2770,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2780,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2790,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2800,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2810,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2820,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2830,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2840,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2850,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2860,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2870,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2880,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2890,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2900,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2910,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2920,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2930,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2940,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2950,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
2960,-603.8274,3.981429e-07,0.06201564,0.4847478,0.7624761,0.8250988,0.5663254
